User,Install_Date,Device_Type
1,5/1/2015,iPadM
2,5/17/2015,iPhone4S
3,5/7/2015,iPhone5
4,5/24/2015,iPod4
5,5/9/2015,iPadM
6,5/3/2015,iPhone5
7,5/2/2015,iPhone4
8,5/4/2015,iPhone6Plus
9,5/15/2015,iPhone5S
10,5/3/2015,iPhone5
11,5/17/2015,iPadAir
12,5/9/2015,iPhone6
13,5/8/2015,iPhone5S
14,5/2/2015,iPhone6Plus
15,5/9/2015,iPhone4S
16,5/6/2015,iPhone5S
17,5/2/2015,iPod4
18,5/16/2015,iPhone6
19,5/31/2015,iPod4
20,5/9/2015,iPadM
21,5/13/2015,iPhone4
22,5/3/2015,iPadM
23,5/4/2015,iPhone5
24,5/10/2015,iPhone4
25,5/5/2015,iPhone6
26,5/22/2015,iPod5
27,5/5/2015,iPhone4
28,5/25/2015,iPhone5C
29,5/1/2015,iPhone5S
30,5/6/2015,iPhone5C
31,5/1/2015,iPhone5
32,5/8/2015,iPhone6
33,5/3/2015,iPhone4S
34,5/2/2015,iPhone4S
35,5/6/2015,iPhone6
36,5/7/2015,iPhone5S
37,5/1/2015,iPad3
38,5/9/2015,iPhone4S
39,5/11/2015,iPhone6
40,5/4/2015,iPod5
41,5/4/2015,iPadAir
42,5/2/2015,iPad4
43,5/2/2015,iPhone5S
44,5/4/2015,iPadM3
45,5/30/2015,iPadAir2
46,5/7/2015,iPhone5C
47,5/2/2015,iPhone5C
48,5/3/2015,iPhone5C
49,5/9/2015,iPad2
50,5/16/2015,iPhone4
51,5/13/2015,iPhone5C
52,5/26/2015,iPhone6
53,5/5/2015,iPhone5S
54,5/2/2015,iPhone5S
55,5/27/2015,iPhone4
56,5/5/2015,iPad4
57,5/3/2015,iPhone5S
58,5/15/2015,iPhone5C
59,5/13/2015,iPadAir
60,5/4/2015,iPod5
61,5/4/2015,iPhone5C
62,5/17/2015,iPhone5S
63,5/2/2015,iPadAir
64,5/4/2015,iPhone5C
65,5/7/2015,iPhone4
66,5/2/2015,iPhone5S
67,5/11/2015,iPhone4
68,5/8/2015,iPadM
69,5/31/2015,iPhone4S
70,5/17/2015,iPhone6
71,5/1/2015,iPadM
72,5/2/2015,iPhone6
73,5/7/2015,iPadM
74,5/2/2015,iPhone5C
75,5/2/2015,iPhone6
76,5/3/2015,iPhone5
77,5/10/2015,iPhone5C
78,5/30/2015,iPad2
79,5/1/2015,iPhone6
80,5/2/2015,iPadM
81,5/9/2015,iPhone4S
82,5/17/2015,iPhone4
83,5/18/2015,iPhone6
84,5/30/2015,iPadM
85,5/11/2015,iPhone6
86,5/3/2015,iPad4
87,5/6/2015,iPadM
88,5/9/2015,iPhone6
89,5/17/2015,iPhone5
90,5/12/2015,iPhone6
91,5/6/2015,iPadM
92,5/1/2015,iPadAir
93,5/3/2015,iPhone6
94,5/1/2015,iPhone4
95,5/1/2015,iPhone6
96,5/2/2015,iPhone5
97,5/1/2015,iPad4
98,5/7/2015,iPhone5
99,5/10/2015,iPadM
100,5/3/2015,iPod5
101,5/5/2015,iPhone4S
102,5/8/2015,iPhone4S
103,5/20/2015,iPhone5C
104,5/5/2015,iPod5
105,5/31/2015,iPhone5C
106,5/1/2015,iPadAir2
107,5/1/2015,iPhone6
108,5/3/2015,iPadAir
109,5/9/2015,iPhone5S
110,5/4/2015,iPhone5S
111,5/1/2015,iPadAir2
112,5/18/2015,iPhone5S
113,5/5/2015,iPhone4
114,5/2/2015,iPhone4
115,5/27/2015,iPod5
116,5/2/2015,iPadM
117,5/21/2015,iPhone4S
